word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
respective,adjective,0,"RELATED
              (adjective)",ATTACH THE CABLES TO THEIR RELATED SHACKLES.,Attach the cables to their respective shackles.
respective,adjective,0,"CORRECT
              (adjective)",INSTALL THE BOLTS IN THEIR CORRECT POSITIONS.,Install the bolts in their respective positions.
respectively,adverb,0,"RELATED
              (adjective)",ENGINES 1 AND 2 SUPPLY HOT AIR TO THEIR RELATED WINGS.,Engines 1 and 2 supply the left and right wings respectively with hot air.
respond,verb,0,"RESULT
              (noun)","IF THE INSTRUMENT DOES NOT GIVE A RESULT, DO A TEST.","If the instrument fails to respond, do a test."
rest,noun,0,"REMAINING
              (adjective)",THE REMAINING INSTRUCTIONS ARE APPLICABLE ONLY TO APPROVED PERSONNEL.,The rest of these instructions only apply to approved personnel.
rest,verb,0,"BE
              (verb)",THE VEHICLE MUST BE ON ITS WHEELS.,The vehicle must rest on its wheels.
restart,verb,0,"START
              (verb)",START THE UNIT AGAIN.,Restart the unit.
restore,verb,0,"REPAIR
              (verb)",DO NOT REPAIR THE CHROMIC ACID ANODIZING ON THE SKIN PANEL.,Do not restore the chromic acid anodizing on the skin panel.
restrain,verb,0,"HOLD
              (verb)",HOLD THE HOSES IN POSITION.,Restrain the hoses in position.
restrain,verb,0,"STOP
              (verb)",STOP THE FLUID FLOW.,Restrain all fluid flow.
restrict,verb,0,"DECREASE
              (verb)",THE METERING PLUG DECREASES THE FUEL FLOW.,The metering plug restricts the fuel flow.
result,verb,0,"CAUSE
              (verb)",AN INCORRECT CONNECTION WILL CAUSE DAMAGE.,An incorrect connection will result in damage.
resume,verb,0,"START
              (verb)",INCREASE THE PRESSURE UNTIL THE FLOW STARTS AGAIN.,Increase the pressure until the flow resumes.
retain,verb,0,"KEEP
              (verb)",KEEP THE PLUG.,Retain the plug.
retorque,verb,0,"TORQUE
              (verb)",TORQUE THE FITTING AGAIN.,Retorque the fitting.
retouch,verb,0,"APPLY
              (verb)",APPLY ENAMEL ON THE AREAS WHERE IT IS MISSING.,Retouch the missing enamel areas.
retractable,adjective,0,"RETRACT
              (verb)",THE AIRCRAFT HAS A LANDING GEAR THAT RETRACTS.,The aircraft has a retractable landing gear.
return,noun,0,"GO
              (verb)","AFTER THE AILERONS GO BACK TO NEUTRAL, MAKE SURE THAT THEY ARE FLUSH WITH THE FLAPS.","After the return of the ailerons to neutral, check that they are flush with the flaps."
return,verb,0,"GO
              (verb)",THE PLUNGERS MUST GO BACK TO THE CLOSED POSITION.,Plungers must return to the closed position.
reusable,adjective,0,"USE
              (verb)",YOU CAN USE THE MIXTURE AGAIN.,The mixture is reusable.
reuse,verb,0,"USE
              (verb)","IF THE FABRIC IS NOT DAMAGED, USE IT AGAIN.",Reuse the fabric if it is not damaged.
reveal,verb,0,"SHOW
              (verb)","IF THE FUEL SAMPLE SHOWS FREE WATER, DRAIN THE SYSTEM.","If the fuel sample reveals free water, drain the system."
reverse,adjective,0,"OPPOSITE
              (adjective)",MOVE THE CONTROL IN THE OPPOSITE DIRECTION.,Move the control in the reverse direction.
reverse,verb,0,"OPPOSITE
              (adjective)",MOVE THE ROD IN THE OPPOSITE DIRECTION.,Reverse the movement of the rod.
review,noun,0,"INSPECTION
              (noun)",DO AN INSPECTION OF THE DAMAGED AREA.,Do a review of the damaged area.
rewind,verb,0,"WIND
              (verb)",WIND THE CABLE BACK ONTO ITS REEL.,Rewind the cable onto its reel.
rework,verb,0,"Refer to technical verbs, manufacturing processes.","EXAMINE FOR SCRATCHES. THEN, LIGHTLY POLISH ALL DAMAGED AREAS.",Examine for scratches and rework all damaged areas.
rig,verb,0,"ADJUST
              (verb)",,
right-hand,adjective,0,"RIGHT
              (adjective)",THE FUEL CONNECTOR IS IN THE RIGHT WING.,The fuel connector is in the right-hand wing.
rinse,verb,0,"FLUSH
              (verb)",FLUSH THE FILTER WITH HOT WATER.,Rinse the filter in hot running water.
ripped,adjective,0,"DAMAGED
              (adjective)","IF THE SEAT COVER IS DAMAGED, REPLACE IT.","If the seat cover is ripped, replace it."
rise,noun,0,"INCREASE
              (verb)","WHEN A FIRE STARTS, THE TEMPERATURE INCREASES AND CAUSES THE DETECTOR TO OPERATE.","When a fire starts, the temperature rise causes the detector to operate."
rise,verb,0,"INCREASE
              (verb)",FILL THE STRUT WITH FLUID UNTIL THE PRESSURE INCREASES.,Fill the strut with fuel until the pressure rises.
rope off,verb,0,"ROPE
              (Technical noun)",PUT ROPES AROUND THE AREA.,Rope off the area.
rotary,adjective,0,"TURN
              (verb)",TURN THE GEARS TO ALIGN THEM.,Use a rotary movement to align the gears.
rotate,verb,0,"TURN
              (verb)",SLOWLY TURN THE VANE.,Slowly rotate the vane.
rotation,noun,0,"TURN
              (verb)",MAKE SURE THAT THE FAN TURNS FREELY.,Ensure the free rotation of the fan.
rotational,adjective,0,"TURN
              (verb)",TURN THE GEARS TO ALIGN THEM.,Use a rotational movement to align the gears.
roughen,verb,0,"ROUGH
              (adjective)",MAKE THE FAYING SURFACES ROUGH.,Roughen the faying surfaces.
roughness,noun,0,"ROUGH
              (adjective)",MAKE SURE THAT THE AREA OF THE BOND IS SUFFICIENTLY ROUGH.,Make sure the area of the bond has sufficient roughness.
round,adjective,0,"CIRCULAR
              (adjective)",REPAIR THE DAMAGE WITH A CIRCULAR PATCH.,Repair the damage with a round patch.
route,noun,0,"ROUTING
              (noun)",MAKE SURE THAT YOU DO NOT CHANGE THE WIRE ROUTING.,Make sure you do not change the wire routes.
route,verb,0,"PUT
              (verb)",PUT THE FUELING HOSE ALONG THE GROUND.,Route the fueling hose along the ground.
routine,adjective,0,"USUAL
              (adjective)","IF SUCH FAILURES BECOME USUAL, REPLACE THE UNIT.","If such failures become routine, replace the unit."
run,verb,0,"OPERATE
              (verb)",OPERATE THE ENGINE AT 100 THRUST.,Run the engine at 100 thrust.
running,adjective,0,"FLUSH
              (verb)",FLUSH THE PIPES WITH WATER.,Clean the pipes with running water.
safety-clip,verb,0,"LOCK
              (verb)",LOCK THE TURNBUCKLE ON THE CONTROL ROD WITH A CLIP.,Safety-clip the turnbuckle on the control rod.
safety-wire,verb,0,"LOCK
              (verb)",LOCK THE COVER TO THE FIRE EXTINGUISHER SWITCH WITH LOCKWIRE.,Safety-wire the cover to the fire extinguisher switch.
sample,verb,0,"SAMPLE
              (noun)","GET A SAMPLE OF FUEL. THEN, DO A TEST FOR WATER CONTAMINATION.",Sample and test the fuel for water contamination.
saturate,verb,0,"SOAK
              (verb)",SOAK THE ELEMENT FOR FOUR HOURS.,Saturate the element for four hours.
save,verb,0,"KEEP
              (verb)",KEEP THE O-RINGS FOR THE SUBSEQUENT PROCEDURES.,Save the O-rings for the subsequent procedures.
scan,verb,0,"EXAMINE
              (verb)",EXAMINE THE SURFACE ALONG THE TRAILING EDGE.,Scan the surface along the trailing edge.
scored,adjective,0,"SCORE
              (Technical noun)","IF THE BEARING RACE HAS SCORES, REPLACE IT.","If the bearing race is scored, replace it."
scrap,verb,0,"DISCARD
              (verb)",DISCARD THE REMOVED SEAL.,Scrap the removed seal.
scrape,verb,0,"REMOVE
              (verb)",REMOVE THE REMAINING SEALANT WITH AN APPLICABLE SCRAPER.,Scrape off the old sealant.
scratched,adjective,0,"SCRATCH
              (Technical noun)",REPAIR THE SURFACES THAT HAVE SCRATCHES.,Repair the scratched surfaces.
screw,verb,0,"TURN
              (verb)",CONTINUE TO TURN THE END FITTING UNTIL IT IS IN THE CORRECT POSITION.,Continue screwing the end fitting until it is in the correct position.
scrub,verb,0,"CLEAN
              (verb)",CLEAN THE METAL PARTS WITH A BRUSH.,Scrub all metal parts.
search,verb,0,"EXAMINE
              (verb)",EXAMINE THE SURFACE FOR CRACKS.,Search the surface for cracks.
seat,verb,0,"INSTALL
              (verb)",INSTALL THE O-RING IN ITS GROOVE ON THE PISTON.,Seat the O-ring in its groove on the piston.
secure,adjective,0,"TIGHT
              (verb)",MAKE SURE THAT THE BOLTS ARE TIGHT.,Make sure that the bolts are secure.
secure,verb,0,"ATTACH
              (verb)",REMOVE THE BOLTS THAT ATTACH THE UNIT.,Remove the bolts that secure the unit.
secure,verb,0,"SAFETY
              (verb)",SAFETY THE PULLEY GUARD PINS WITH SPLIT PINS.,Secure the pulley guard pins with split pins.
securely,adverb,0,"CORRECTLY
              (adverb)",MAKE SURE THAT THE BRACKETS ARE CORRECTLY ATTACHED.,Make sure that the brackets are securely attached.
security,noun,0,"CORRECTLY
              (adverb)",MAKE SURE THAT THE COMPONENTS ARE CORRECTLY ATTACHED.,Check the security of the components.
seek,verb,0,"GET
              (verb)",GET MEDICAL AID IMMEDIATELY.,Seek medical attention immediately.
seepage,noun,0,"LEAKAGE
              (noun)",CLEAN THE AREAS WHERE THERE IS HYDRAULIC FLUID LEAKAGE.,Clean the areas where there is hydraulic fluid seepage.
seized,adjective,0,"CATCH
              (verb)","IF THE CONTROL CABLE IS CAUGHT IN THE PULLEY, RELEASE THE CABLE TENSION.","If the control cable is seized in the pulley, release the cable tension."
separable,adjective,0,"DISASSEMBLE
              (verb)",YOU CAN DISASSEMBLE THIS UNIT INTO TWO PARTS.,This unit is separable into two parts.
separate,adjective,0,"ISOLATED
              (adjective)",EACH HYDRAULIC SYSTEM IS FULLY ISOLATED.,All hydraulic systems are completely separate.
separate,verb,0,"DISCONNECT
              (verb)",DISCONNECT THE LINE FITTINGS.,Separate the line fittings.
separately,adverb,0,,MONITORS THE CONDITION OF THE PARTS INDEPENDENTLY.,The system monitors the condition of the parts separately.
serious,adjective,0,"IMPORTANT
              (adjective)",VIRUS CONTAMINATION IS AN IMPORTANT PROBLEM.,Virus contamination is a serious problem.
serrated,adjective,0,"SERRATION
              (noun)",USE GLOVES WHEN YOU TOUCH PARTS WITH EDGE SERRATIONS.,Use gloves when handling parts with serrated edges.
serve,verb,0,Use an accurate verb.,THE RADIO MASTER SWITCH CONTROLS THE BUS BAR.,The radio master switch serves to control the bus bar.
service,verb,0,"SERVICING
              (noun)",DO THE SERVICING OF THE FIRE EXTINGUISHERS.,Service the fire extinguishers.
serviceability,noun,0,"SERVICEABLE
              (adjective)",THE TIRE IS SERVICEABLE IF THE CUTS ARE SMALLER THAN 10 mm.,The serviceability of the tire is not affected by any cut smaller than 10 mm.
setting,noun,0,"ADJUSTMENT
              (noun)",DO NOT CHANGE THE ADJUSTMENT OF THE SWITCHES.,Do not change the setting of the switches.
settle,verb,0,"COLLECT
              (verb)",LET THE SEDIMENT COLLECT AT THE BOTTOM OF THE CONTAINER.,Let the sediment settle at the bottom of the container.
sever,verb,0,"CUT
              (verb)",MAKE SURE THAT YOU DO NOT CUT THE CONTROL CABLE.,Make sure you do not sever the control cable.
several,adjective,0,"SOME
              (adjective)",SOME FUNCTIONS ARE NOT AVAILABLE.,Several functions are not available.
severe,adjective,0,"DANGEROUS
              (adjective)",THIS ANTISEPTIC CAN BE DANGEROUS FOR YOUR SKIN.,This antiseptic can cause severe skin problems.
shall,verb,0,"MUST
              (verb)",HOLES MUST NOT HAVE SHARP EDGES.,Holes shall not have sharp edges.
shape,verb,0,"SHAPE
              (noun)",MAKE THE PATCH THE SAME SHAPE AS THE CUTOUT.,Shape the patch to suit the cutout.
sharply,adverb,0,"QUICKLY
              (adverb)",QUICKLY PULL THE CABLES TO DISENGAGE THEM.,Sharply pull the cables to disengage them.
shear,verb,0,"BREAK
              (verb)",TIGHTEN THE NUT. CONTINUE UNTIL THE NUT BREAKS.,Tighten the nut until it shears.
shear,verb,0,"CUT
              (verb)",DO NOT CUT THE WIRES.,Do not shear the wires.
shield,verb,0,"PREVENT
              (verb)",PUT ON GOGGLES TO PREVENT INJURY TO YOUR EYES.,Shield your eyes.
shift,verb,0,"MOVE
              (verb)",MOVE THE LEVER FORWARD.,Shift the lever forward.
shorten,verb,0,"DECREASE
              (verb)",DO NOT DECREASE THE STERILIZATION TIME.,Do not shorten the sterilization time.
should,verb,0,"MUST
              (verb)",PERSONNEL MUST USE PROTECTIVE CLOTHING.,Personnel should wear protective clothing.
shut down,verb,0,"STOP
              (verb)",STOP THE ENGINE.,Shut down the engine.
sideways,adverb,0,"SIDE
              (noun)",PUSH THE UNIT OUT AND THEN MOVE IT TO THE LEFT SIDE.,Push the unit out and then move it sideways.
sight,noun,0,"VIEW
              (noun)",TURN THE KNOB TO MAKE THE DISPLAY GO OUT OF VIEW.,Turn the knob to make the display go out of sight.
sight,verb,0,"LOOK
              (verb)",LOOK ALONG THE SKIN.,Sight along the skin.
significant,adjective,0,"IMPORTANT
              (adjective)",THIS PROCEDURE IS IMPORTANT FOR THE CORRECT OPERATION OF THE UNIT.,This procedure is significant for the correct operation of the unit.
silence,verb,0,"STOP
              (verb)",STOP THE ALARM BELL.,Silence the alarm bell.
similar,adjective,0,"EQUIVALENT
              (adjective)",USE THE SPECIFIED MATERIAL OR AN EQUIVALENT ONE.,Use the specified material or a similar one.
simultaneous,adjective,0,AT THE SAME TIME,REMOVE THE FILTER ELEMENT AND THE FILTER HOUSING AT THE SAME TIME.,Simultaneous removal of the filter element and the filter housing is obligatory.
simultaneously,adverb,0,AT THE SAME TIME,DO THESE TWO STEPS AT THE SAME TIME.,Do these two steps simultaneously.
situated,adjective,0,"INSTALL
              (verb)",THE TRIM CONTROL KNOB IS INSTALLED ON THE CONTROL PEDESTAL.,The trim control knob is situated on the control pedestal.
situation,noun,0,"CONDITION
              (noun)",THE ALGORITHM ADAPTS TO THE NEW CONDITIONS.,The algorithm adapts to the new situation.
size,noun,0,"DIMENSION
              (noun)",THESE PARTS HAVE DIFFERENT DIMENSIONS.,These parts are of different sizes.
skid,verb,0,"SKID
              (Technical noun)",THIS INDICATOR SHOWS THAT THE CAR IS IN A SKID.,This indicator indicates that the car is skidding.
slack,adjective,0,"TENSION
              (Technical noun)",MAKE SURE THAT THE TENSION IN THE CONTROL CABLES IS CORRECT.,Check for slack control cables.
slack,noun,0,"TENSION
              (Technical noun)",MAKE SURE THAT THE TENSION IN THE CONTROL CABLES IS CORRECT.,Check for slack in the control cables.
slacken,verb,0,"TENSION
              (Technical noun)",RELEASE THE TENSION IN THE CONTROL CABLES.,Slacken the control cables.
slackness,noun,0,"TENSION
              (Technical noun)",MAKE SURE THAT THE TENSION IN THE CABLES IS CORRECT.,Make sure there is no slackness in the cables.
slave,verb,0,"CONTROL
              (verb)",THE PILOT'S INDICATORS CONTROL THE COPILOT'S INDICATORS.,The copilot's indicators are slaved to the pilot's indicators.
slide,verb,0,"MOVE
              (verb)",MOVE THE COMPUTER HORIZONTALLY TO PREVENT DAMAGE.,Slide the computer horizontally to avoid damage.
slight,adjective,0,"SMALL
              (adjective)","IF THE LEAKAGE IS SMALL, TORQUE THE CONNECTION TO 4.0 Nm. THEN, DO THE TEST AGAIN.","If slight leakage is found, torque the connection to 4.0 Nm. Then repeat the test."
slightly,adverb,0,"SMALL
              (adjective)",MOVE THE ADAPTER A SMALL DISTANCE FORWARD.,Move the adapter slightly forward.
slip,verb,0,"MOVE
              (verb)",MOVE THE CARRIAGE ALONG THE TRACK.,Slip the carriage along the track.
slow down,verb,0,"DECREASE
              (verb)",DECREASE THE SPEED OF THE SCREWING MACHINE TO PREVENT DAMAGE TO FASTENERS.,Slow down the screwing machine to prevent damage to fasteners.
sluggish,adjective,0,"SLOW
              (adjective)","IF THE MOVEMENT OF THE NEEDLE IS TOO SLOW, REPLACE THE SENSOR.","If the movement of the needle is sluggish, replace the sensor."
smear,verb,0,"APPLY
              (verb)",APPLY GREASE TO THE TAPER SLEEVE.,Smear grease on the taper sleeve.
smooth,verb,0,"SMOOTH
              (adjective)",MAKE THE TAPE SMOOTH.,Smooth the tape out.
snag,verb,0,"CATCH
              (verb)",THE CLOTH WILL CATCH ON BROKEN WIRES.,The cloth will snag on broken wires.
snap,noun,0,"CLICK
              (noun)","WHEN YOU ATTACH THE SPRING CLIP, MAKE SURE THAT YOU HEAR A CLICK.",Ensure that there is a snap when you fit the spring clip.
snap,verb,0,MOVE QUICKLY,THE RETAINING CLIP MUST MOVE QUICKLY INTO ITS POSITION.,The retaining clip must snap into its position.
so (that),conj,0,"UNTIL
              (preposition)",ADJUST THE LENGTH OF THE ROD UNTIL YOU GET A MINIMUM CLEARANCE OF 0.1 in.,Adjust the length of rod so that a minimum gap of 0.1 in. is obtained.
soapy,adjective,0,"SOAP
              (Technical noun)",CLEAN THE SURFACE WITH A SOLUTION OF SOAP AND WATER.,Clean the surface using soapy water.
soften,verb,0,MAKE…SOFT,PUT THE MATERIAL INTO THE SOLVENT TO MAKE THE COMPOUND SOFT.,Put the material into the solvent to soften the compound.
soiled,adjective,0,"DIRTY
              (adjective)",DISCARD THE DIRTY RAGS.,Scrap the soiled rags.
solidify,verb,0,"SOLID
              (adjective)",DO NOT LET THE FOAM BECOME SOLID.,Do not allow the foam to solidify.
solve,verb,0,"SOLUTION
              (noun)","IF THE REMOVAL OF THE VALVE WAS NOT THE SOLUTION TO THE PROBLEM, REPLACE THE UNIT.","If the removal of the valve did not solve the problem, replace the unit."
soon,adverb,0,"TIME
              (noun)","WHEN YOU STOP THE POWER SUPPLY, THE TEMPERATURE WILL DECREASE IN A SHORT TIME.","When you stop the power supply, the temperature will decrease soon."
sound,verb,0,"OPERATE
              (verb)",THE ALARM BELL OPERATES.,The alarm bell sounds.
space,verb,0,"DISTANCE
              (noun)",MAKE SURE THAT THERE IS AN EQUAL DISTANCE BETWEEN THE HOLES.,Make sure you space the holes equally.
spacing,noun,0,"DISTANCE
              (noun)",REFER TO FIG. 401 FOR THE DISTANCE BETWEEN RIVETS.,The rivet spacing is given in Fig. 401.
spanwise,adjective,0,"SPAN
              (Technical noun)",MAKE SURE THAT THERE ARE NO SIGNS OF MOVEMENT ALONG THE SPAN.,Check for signs of spanwise movement.
sparingly,adverb,0,"QUANTITY
              (noun)",APPLY A SMALL QUANTITY OF GREASE.,Apply grease sparingly.
spark,verb,0,"SPARK
              (noun)","WHEN YOU USE ELECTRICAL EQUIPMENT THAT MAKES SPARKS, USE GOGGLES.",Wear goggles when using electrical equipment that sparks.
specific,adjective,0,"APPROVED
              (adjective)",USE APPROVED TOOLS TO PREVENT POSSIBLE DAMAGE.,Use specific tools to preclude the possibility of damage.
specifically,adverb,0,"SPECIALLY
              (adverb)",THESE MATERIALS ARE SPECIALLY MADE FOR PLASTIC SURFACES.,These materials are specifically designed for plastic surfaces.
speck,noun,0,"PARTICLE
              (noun)",REMOVE ALL PARTICLES OF DUST FROM THE LENS.,Remove all specks of dust from the lens.
speech,noun,0,"VOICE
              (noun)","IF YOU CANNOT HEAR THE VOICE, REPLACE THE UNIT.","If the speech is not audible, replace the unit."
spillage,noun,0,"CONTAMINATION
              (noun)",FIND THE AREA OF MERCURY CONTAMINATION.,Find the area of the mercury spillage.
spin,verb,0,TURN … QUICKLY,TURN THE WHEEL QUICKLY WITH YOUR HAND.,Spin the wheel by hand.
splash,verb,0,"GET
              (verb)","IF YOU GET FLUID IN YOUR EYES, GET MEDICAL AID.","If fluid splashes into eyes, get medical aid."
splined,adjective,0,"SPLINE
              (Technical noun)",THE DRIVE SHAFT HAS SPLINES.,The drive shaft is splined.
split,adjective,0,"DAMAGED
              (adjective)",REPLACE DAMAGED COVERS.,Split covers must be replaced.
split,verb,0,"DIVIDE
              (verb)",DIVIDE THE ELECTRICAL LOAD BETWEEN THE TWO BUS BARS.,Split the electrical load between the two bus bars.
spot,noun,0,"MARK
              (noun)",A RED MARK ON THE PIN IDENTIFIES THE LUBRICATION POINT.,A red spot on the pin identifies the lubrication point.
spot,verb,0,"FIND
              (verb)","IF YOU FIND CORROSION IN THIS AREA, USE REPAIR SCHEME No. 3.","If you spot corrosion in this area, use repair scheme No. 3."
spread,verb,0,"APPLY
              (verb)",APPLY THE COMPOUND EQUALLY.,Spread compound evenly.
spring,verb,0,"MOVE
              (verb)",MAKE SURE THAT THE PINS DO NOT MOVE OUT OF THE NOTCH.,Make certain that the pins do not spring out of the notch.
spurious,adjective,0,"UNWANTED
              (adjective)","IF THERE ARE UNWANTED INDICATIONS, DO A TEST.","In the event of spurious indications, do a test"
stability,noun,0,"STABLE
              (adjective)","BEFORE YOU LIFT THE VEHICLE WITH JACKS, MAKE SURE THAT IT IS STABLE.","Before jacking up the vehicle, make sure that its stability is ensured."
stabilization,noun,0,"STABLE
              (adjective)","WHEN THE TEMPERATURE IS STABLE, MAKE SURE THAT THE OIL PRESSURE DECREASES.",Check that oil pressure drops after stabilization of temperature.
stabilize,verb,0,"STABLE
              (adjective)",LET THE V-BARS BECOME STABLE.,Allow V-bars to stabilize.
stage,noun,0,"STEP
              (noun)","DURING THIS STEP, DO NOT REMOVE THE PIN.",Do not remove the pin at this stage.
stained,adjective,0,"DIRTY
              (adjective)","IF THE CARPET IS DIRTY, CLEAN IT WITH MATERIAL No. 8.","If the carpet is stained, clean it with Material No. 8."
stamp,verb,0,"PUT
              (verb)",PUT THE TEST DATE ON THE CYLINDER NECK WITH THE APPLICABLE STAMP.,Stamp the test date on the cylinder neck.
stand,verb,0,"STAY
              (verb)",STAY AWAY FROM SURFACES THAT MOVE.,Do not stand near moving surfaces.
starboard,adjective,0,"RIGHT
              (adjective)","ON THE RIGHT WING, MOVE THE AILERONS UP.","On the starboard wing, move the ailerons up."
state,noun,0,"CONDITION
              (noun)",EXAMINE THE CONDITION OF THE UNIT.,Examine the state of the unit.
state,verb,0,"TELL
              (verb)","UNLESS THE MANUFACTURER’S INSTRUCTIONS TELL YOU DIFFERENTLY, DO THE PROCEDURE THAT FOLLOWS.","Unless otherwise stated by the manufacturer, do the following procedure."
station,verb,0,"PUT
              (verb)",PUT A PERSON NEAR THE FUEL TANK.,Station a person near the fuel tank.
stationary,adjective,0,"STABLE
              (adjective)","WHEN THE PRESSURE IS STABLE, CLOSE THE VALVE.","When the pressure is stationary, close the valve."
steadily,adverb,0,"CONTINUOUSLY
              (adverb)","IF THE TEMPERATURE INCREASES CONTINUOUSLY, STOP THE ENGINE.","If the temperature increases steadily, stop the engine."
steady,adjective,0,"STABLE
              (adjective)",MAKE SURE THAT THE SYSTEM PRESSURE IS STABLE.,Make sure that the system pressure is steady.
stick,verb,0,"ATTACH
              (verb)",ATTACH THE LABEL TO THE SURFACE.,Stick the label to the surface.
sticky,adjective,0,"TACKY
              (adjective)","WHEN THE CEMENT IS TACKY, PUT THE PATCH ON THE SURFACE.",Put the patch on the surface when the cement is sticky.
stiff,adjective,0,"MOVE
              (verb)","IF THE PISTON DOES NOT MOVE EASILY IN THE SLEEVE, DO A DIMENSIONAL INSPECTION OF THE PARTS.","If the piston is stiff, check the dimensions of the piston and sleeve."
still,adverb,0,"STAY
              (verb)",MAKE SURE THAT THE “OVHT” LIGHT STAYS ON.,Make sure that the “OVHT” light is still illuminated.
stimulate,verb,0,"INCREASE
              (verb)",INCREASE THE AIRFLOW.,Stimulate the airflow.
stir,verb,0,"MIX
              (verb)",MIX THE BONDING MATERIAL WITH A SPATULA.,Stir the bonding material with a spatula.
store,verb,0,"KEEP
              (verb)",KEEP THE CARTRIDGES IN A SAFETY AREA.,Cartridges should be stored in a safety area.
straighten,verb,0,"STRAIGHT
              (adjective)",DO NOT TRY TO MAKE THE BENDS IN THE CABLE STRAIGHT.,Do not try to straighten the bends in the cable.
strain,verb,0,"FILTER
              (Technical noun)","BEFORE YOU USE THE OIL, PUT IT THROUGH A FILTER.",Strain the oil before use.
strap,verb,0,"ATTACH
              (verb)",ATTACH THE CABLES TO THE STRUCTURE WITH AN APPLICABLE STRAP.,Strap the cables to the structure.
stress,verb,0,"FORCE
              (Technical noun)",DO NOT PUT TOO MUCH FORCE ON THE DUCTING.,Do not stress the ducting unnecessarily.
strictly,adverb,0,"FULLY
              (adverb)",FULLY OBEY THE SAFETY PRECAUTIONS.,Strictly obey the safety precautions.
strike,verb,0,"HIT
              (verb)",MAKE SURE THAT THE SLING DOES NOT HIT THE SURFACE.,Make certain that the sling does not strike the surface.
strip,verb,0,"REMOVE
              (verb)",REMOVE THE INSULATION FROM THE WIRE.,Strip the insulation from the wire.
striped,adjective,0,"STRIPE
              (noun)",THE FLAG HAS RED AND WHITE STRIPES.,The flag is striped red and white.
stroke,noun,0,"TRAVEL
              (noun)","TO BLEED THE BRAKING SYSTEM, OPERATE THE HAND PUMP HANDLE THROUGH ITS FULL TRAVEL.",Bleed the braking system by applying full strokes to the hand pump handle.
submerge,verb,0,"PUT
              (verb)",PUT THE FILTER ELEMENT FULLY INTO THE FLUID.,Submerge the filter element in the fluid.
submit,verb,0,"SEND
              (verb)",SEND THE METAL PARTICLES TO A LABORATORY FOR ANALYSIS.,Submit the metal particles to a laboratory for analysis.
subsequent to,preposition,0,"AFTER
              (conjunction)","AFTER YOU INSTALL THE COMPONENT, REMOVE THE HANDLING TOOL.",Remove the handling tool subsequent to the installation of the component.
substance,noun,0,"MATERIAL
              (noun)",THE PRIMER CONTAINS A MATERIAL THAT PREVENTS CORROSION.,The primer contains a substance that prevents corrosion.
substitute,adjective,0,"EQUIVALENT
              (adjective)","IF THE SPECIFIED MATERIAL IS NOT AVAILABLE, YOU CAN USE AN EQUIVALENT ONE.",A substitute material may be used if the specified one is not available.
substitute,noun,0,"ALTERNATIVE
              (noun)",YOU CAN USE ALTERNATIVES FOR THESE ITEMS.,Equivalent substitutes may be used for these items.
substitute,verb,0,"REPLACE
              (verb)",DO NOT REPLACE THE SELF-LOCKING NUTS WITH PLAIN NUTS.,Do not substitute the self-locking nuts with plain nuts.
successful,adjective,0,"CORRECT
              (adjective)","IF THE TEST RESULTS ARE NOT CORRECT, REPLACE THE UNIT.","If the test is not successful, replace the unit."
such as,,0,FOR EXAMPLE,"WHEN YOU REMOVE THE STUD, USE APPLICABLE TOOLS. FOR EXAMPLE, USE A PLASTIC MALLET AND A PUNCH.","When you remove the stud, use applicable tools such as a plastic mallet and a punch."
suck,verb,0,"REMOVE
              (verb)",REMOVE THE UNWANTED MATERIAL WITH SUCTION.,Suck out the unwanted material.
suitable,adjective,0,"APPLICABLE
              (adjective)",PUT AN APPLICABLE SCREWDRIVER IN THE SLOT.,Put a suitable screwdriver in the slot.
suitably,adverb,0,"SUFFICIENTLY
              (adverb)","WHEN THE PAINT IS SUFFICIENTLY SOFT, REMOVE IT WITH A PLASTIC SPATULA.","When the paint is suitably soft, remove it with a plastic spatula."
support,noun,0,"SUPPORT
              (Technical noun)","BEFORE YOU DISCONNECT THE ITEM, PUT A SUPPORT BELOW IT.",Make certain there is adequate support for the item before disconnecting it.
support,verb,0,"HOLD
              (verb)","HOLD THE SWITCH AND REMOVE THE SCREWS. PUT A SUPPORT BELOW THE PUMP. THEN, REMOVE IT FROM THE DRIVE SHAFT.","Support the switch and remove the screws. Support the pump, then remove it from the drive shaft."
surplus,adjective,0,"UNWANTED
              (adjective)",REMOVE THE UNWANTED GREASE.,Wipe off surplus grease.
surrounding,adjective,0,"ADJACENT
              (adjective)",CLEAN THE MOUNTING AND THE ADJACENT AREA.,Clean the mounting and the surrounding area.
survey,verb,0,"EXAMINE
              (verb)",EXAMINE THE SURFACE.,Survey the surface.
suspect,adjective,0,"THINK
              (verb)","IF YOU THINK THAT THE VALVE IS UNSERVICEABLE, REMOVE IT.",Remove the suspect valve.
suspect,verb,0,"THINK
              (verb)","IF YOU THINK THAT THE POWER UNIT DOES NOT OPERATE CORRECTLY, DO A SYSTEM CHECK.","If you suspect that the power unit does not operate correctly, do a system check."
suspend,verb,0,"HANG
              (verb)",HANG THE ENGINE IN A FIREPROOF BAY.,Suspend the engine in a fireproof bay.
swap,verb,0,"INTERCHANGE
              (verb)",INTERCHANGE THE COMPUTERS 1 AND 2. THEN DO THE TEST AGAIN.,Swap computers 1 and 2. Then do the test again.
